H	Q	uQ
-0.18	5.00	0.13
-0.16	4.80	0.12
0.22	24.00	0.60
0.22	23.40	0.59
0.27	24.00	0.60
0.27	25.00	0.63
0.53	44.70	1.12
0.54	39.40	0.99
0.54	45.20	1.13
0.55	40.40	1.01
0.56	46.40	1.16
0.61	46.00	1.15
0.62	47.50	1.19
0.74	58.10	1.45
0.80	65.20	1.63
0.81	68.10	1.70
0.81	67.40	1.69
0.82	68.80	1.72
0.95	69.50	3.48
0.97	75.40	3.77
1.93	280.76	28.08
2.23	363.91	36.39
2.51	371.81	37.18
2.64	525.13	52.51
4.09	1017.70	101.77
5.02	1820.50	182.05
6.38	1889.30	188.93
2.08	331.00	24.83
2.15	336.00	25.20
2.85	642.00	48.15
2.96	705.00	52.88
3.13	725.00	54.38
3.18	715.00	53.63
3.21	825.00	61.88
0.80	67.10	2.35
0.88	77.90	2.73
0.90	75.50	2.64
0.97	87.60	3.07
